Name,Thickness,Dimensions,,,Quantity,in2,
2x4s-group,1.5 in,3.5 in,x,11.0 in,4,154,
2x4s-group,1.5 in,3.5 in,x,48.0 in,4,672,
2x8s-group,1.5 in,7.25 in,x,41.0 in,1,297.25,
2x4s-group,1.5 in,3.5 in,x,20.25 in,1,70.875,
2x8s-group,1.5 in,7.25 in,x,36.0 in,2,522,
2x4s-group,1.5 in,3.5 in,x,73.0 in,4,1022,
sheets-group,0.75 in,48.0 in,x,81.5 in,2,7824,
sheets-group,0.75 in,15.5 in,x,81.5 in,1,1263.25,
sheets-group,0.75 in,15.625 in,x,81.75 in,1,1277.34375,
sheets-group,0.75 in,14.0 in,x,48.0 in,2,1344,
2x4s-group,1.5 in,3.5 in,x,14.0 in,4,196,
Summary by thickness,,,,,,,
,1.5 in,,,,20,2934.125,
,0.75 in,,,,6,11708.59375,
,,,,,,,
Edge size,,,,,,2751.75 in,
,,,,,,,
16 x ,Mounting points, Dowel, 6.35 x 76,,,,,,
,Diameter,,,0.25 in,,,
,Length,,,3.0 in,,,
20 x ,Mounting points, Dowel, 6.35 x 63,,,,,,
,Diameter,,,0.25 in,,,
,Length,,,2.5 in,,,
12 x ,Mounting points, Dowel, 6.35 x 50,,,,,,
,Diameter,,,0.25 in,,,
,Length,,,2.0 in,,,
,,,,,,,
Generated by FreeCAD macro: github.com/dprojects/getDimensions,,,,,,,
