Name,Dimensions,,,Thickness,Quantity,in2,
2x4-rightTop,3.5 in,x,11.0 in,1.5 in,1,38.5,
2x4-rightfront,3.5 in,x,48.0 in,1.5 in,1,168,
2x8-rearUprightSupport,7.25 in,x,41.0 in,1.5 in,1,297.25,
2x4-frontUprightSupport,3.5 in,x,20.25 in,1.5 in,1,70.875,
2x4-leftTop,3.5 in,x,11.0 in,1.5 in,1,38.5,
2x4-leftrear,3.5 in,x,48.0 in,1.5 in,1,168,
2x4-rightrear,3.5 in,x,48.0 in,1.5 in,1,168,
2x4-leftfront,3.5 in,x,48.0 in,1.5 in,1,168,
2x8-right,7.25 in,x,36.0 in,1.5 in,1,261,
2x4-rightBottom,3.5 in,x,11.0 in,1.5 in,1,38.5,
2x4-leftBottom,3.5 in,x,11.0 in,1.5 in,1,38.5,
2x8-left,7.25 in,x,36.0 in,1.5 in,1,261,
2x4-frontCrossSupport,3.5 in,x,73.0 in,1.5 in,1,255.5,
sheet-rear,48.0 in,x,81.5 in,0.75 in,1,3912,
sheet-front,48.0 in,x,81.5 in,0.75 in,1,3912,
2x4-rearCrossSupportTop,3.5 in,x,73.0 in,1.5 in,1,255.5,
sheet-floor002,15.5 in,x,81.5 in,0.75 in,1,1263.25,
sheet_ceil002,15.625 in,x,81.75 in,0.75 in,1,1277.34375,
sheet-right002,14.0 in,x,48.0 in,0.75 in,1,672,
sheet-left002,14.0 in,x,48.0 in,0.75 in,1,672,
2x4-frontBottom,3.5 in,x,73.0 in,1.5 in,1,255.5,
2x4-rearCrossSupportBottom,3.5 in,x,73.0 in,1.5 in,1,255.5,
2x4-bottomMiddleLeft,3.5 in,x,14.0 in,1.5 in,1,49,
2x4-bottomleft,3.5 in,x,14.0 in,1.5 in,1,49,
2x4-bottomRight,3.5 in,x,14.0 in,1.5 in,1,49,
2x4-bottomMiddleRight,3.5 in,x,14.0 in,1.5 in,1,49,
Summary by thickness,,,,,,,
,,,,1.5 in,20,2934.125,
,,,,0.75 in,6,11708.59375,
,,,,,,,
Edge size,,,,,,2751.75 in,
,,,,,,,
16 x ,Mounting points, Dowel, 6.35 x 76,,,,,,
,Diameter,,,0.25 in,,,
,Length,,,3.0 in,,,
20 x ,Mounting points, Dowel, 6.35 x 63,,,,,,
,Diameter,,,0.25 in,,,
,Length,,,2.5 in,,,
12 x ,Mounting points, Dowel, 6.35 x 50,,,,,,
,Diameter,,,0.25 in,,,
,Length,,,2.0 in,,,
,,,,,,,
Generated by FreeCAD macro: github.com/dprojects/getDimensions,,,,,,,
